FIRSTNAME | LASTNAME | TITLE | YEAR | TYPE | POSITION | GENDER
Al (I) | Allen | Eternity  | 1989 | M | 59 | M
Al (I) | Allen | Split Decisions  | 1988 | M | 33 | M
Alan (II) | Allen | Quantum Project  | 2000 | M | 7 | M
Albert | Allen | Jimi Hendrix  | 1973 | M | 2 | M
Alex | Allen | Depth Charge  | 1960 | M | 5 | M
Alfred | Allen | Anybody Here Seen Kelly?  | 1928 | M | 6 | M
Alfred | Allen | Arthur's Desperate Resolve  | 1916 | M | 3 | M
Alfred | Allen | As You Were  | 1919 | M | 3 | M
Alfred | Allen | Barriers of Society  | 1916 | M | 5 | M
Alfred | Allen | Big Killing, The  | 1928 | M |  | M
Alfred | Allen | Bill's Wife  | 1916 | M | 3 | M
Alfred | Allen | Blackmail  | 1920 | M | 2 | M
Alfred | Allen | Blinding Trail, The  | 1919 | M | 6 | M
Alfred | Allen | Brace Up  | 1918 | M | 3 | M
Alfred | Allen | Bride of the Nancy Lee, The  | 1915 | M | 4 | M
Alfred | Allen | Broken Gate, The  | 1920 | M | 8 | M
Alfred | Allen | Burning Daylight  | 1920 | M | 4 | M
Alfred | Allen | Bustin' Thru  | 1925/I | M | 4 | M
Alfred | Allen | Child of Mystery, A  | 1916 | M | 4 | M
Alfred | Allen | Colleen of the Pines  | 1922 | M | 3 | M
Alfred | Allen | Come Through  | 1917 | M | 9 | M
Alfred | Allen | Dangerous Innocence  | 1925 | M | 4 | M
Alfred | Allen | Dead Game  | 1923 | M |  | M
Alfred | Allen | Desert Driven  | 1923 | M | 5 | M
Alfred | Allen | Dramatic Life of Abraham Lincoln, The  | 1924 | M |  | M
Alfred | Allen | Eagle, The  | 1918 | M | 4 | M
Alfred | Allen | Fifty-Fifty Girl, The  | 1928 | M | 7 | M
Alfred | Allen | Fighting Mad  | 1917 | M | 5 | M
Alfred | Allen | Flame of Youth, The  | 1917 | M | 5 | M
Alfred | Allen | Flashlight, The  | 1917 | M | 4 | M
Alfred | Allen | Flying Fleet, The  | 1929 | M |  | M
Alfred | Allen | Follow the Girl  | 1917 | M | 6 | M
Alfred | Allen | Gambler, The  | 1916 | M | 4 | M
Alfred | Allen | Gates of Doom, The  | 1917 | M | 6 | M
Alfred | Allen | Gentleman of Leisure, A  | 1923 | M | 7 | M
Alfred | Allen | Ghost City  | 1923 | M | 8 | M
Alfred | Allen | Girl in the Dark, The  | 1918 | M | 6 | M
Alfred | Allen | Girl of the Limberlost, A  | 1924 | M | 8 | M
Alfred | Allen | Grand Passion, The  | 1918 | M | 7 | M
Alfred | Allen | Grip of Love, The  | 1917 | M | 3 | M
Alfred | Allen | Grouches and Smiles  | 1916 | M | 2 | M
Alfred | Allen | Grub Stake, The  | 1923 | M | 3 | M
Alfred | Allen | Grudge, The  | 1917 | M | 4 | M
Alfred | Allen | Guilt of Silence, The  | 1918 | M | 3 | M
Alfred | Allen | Heart of Bonita, The  | 1916 | M | 6 | M
Alfred | Allen | Heartaches  | 1916 | M | 2 | M
Alfred | Allen | Hell Morgan's Girl  | 1917 | M | 6 | M
Alfred | Allen | Her Dream Man  | 1916 | M | 3 | M
Alfred | Allen | Her Greatest Story  | 1916 | M | 4 | M
Alfred | Allen | His Divorced Wife  | 1919 | M | 4 | M
Alfred | Allen | Hot News  | 1928 | M | 4 | M
Alfred | Allen | Human Gamble, The  | 1916 | M | 3 | M
Alfred | Allen | Kaiser, the Beast of Berlin, The  | 1918 | M | 16 | M
Alfred | Allen | Kiss or Kill  | 1918 | M | 4 | M
Alfred | Allen | Lion's Claws, The  | 1918 | M | 6 | M
Alfred | Allen | Loot  | 1919 | M | 5 | M
Alfred | Allen | Magic Garden, The  | 1927 | M | 11 | M
Alfred | Allen | Man in the Moonlight, The  | 1919 | M | 4 | M
Alfred | Allen | Miracle Baby, The  | 1923 | M | 7 | M
Alfred | Allen | Miss Blossom  | 1916 | M | 2 | M
Alfred | Allen | Missy  | 1916 | M | 2 | M
Alfred | Allen | Mountain Madness  | 1920 | M | 8 | M
Alfred | Allen | Mystery Club, The  | 1926 | M | 13 | M
Alfred | Allen | New Adventures of Get Rich Quick Wallingford  | 1931 | M |  | M
Alfred | Allen | New Disciple, The  | 1921 | M | 2 | M
Alfred | Allen | Nobody's Wife  | 1918 | M | 3 | M
Alfred | Allen | Noise in Newboro, A  | 1923 | M | 6 | M
Alfred | Allen | Number 16 Martin Street  | 1916 | M | 5 | M
Alfred | Allen | O'Malley of the Mounted  | 1921 | M | 4 | M
Alfred | Allen | Old Fashioned Boy, An  | 1920 | M | 3 | M
Alfred | Allen | Other Half, The  | 1919 | M | 5 | M
Alfred | Allen | Out All Night  | 1927 | M | 6 | M
Alfred | Allen | Outlaw Dog, The  | 1927 | M | 4 | M
Alfred | Allen | Painted Lips  | 1918 | M | 2 | M
